RespondentID,DevType,YearsCodePro,Country,SalaryUSD
1,Full-stack developer,3,United States,75000
2,Back-end developer,5,India,18000
3,Front-end developer,1,Germany,48000
4,Full-stack developer,8,United States,110000
5,Data scientist,2,United Kingdom,52000
6,Mobile developer,4,India,15000
7,Back-end developer,12,Canada,95000
8,DevOps specialist,7,Germany,72000
9,Front-end developer,2,United States,65000
10,Full-stack developer,15,United Kingdom,125000
11,Back-end developer,6,India,22000
12,Data scientist,3,United States,88000
13,Full-stack developer,10,Germany,85000
14,Front-end developer,4,Canada,70000
15,Mobile developer,1,India,12000
16,Back-end developer,9,United States,115000
17,Full-stack developer,20,United Kingdom,140000
18,DevOps specialist,5,Germany,68000
19,Data scientist,8,United States,130000
20,Back-end developer,2,India,14000
21,Front-end developer,6,Canada,78000
22,Full-stack developer,11,United States,120000
23,Mobile developer,3,United Kingdom,58000
24,Back-end developer,14,Germany,92000
25,Full-stack developer,2,India,16000
