Region_ID Units_Sold Unit_Price Store_name Country
REG_01 NaN 34.75 Beta_Retail UK
REG_01 149.0 17.82 Delta_Shop India
REG_01 NaN 30.94 Epsilon_Hub India
REG_02 149.0 47.75 Delta_Shop Canada
REG_03 11.0 78.29 Beta_Retail Germany
REG_03 65.0 96.14 Gamma_Store India
REG_01 101.0 86.27 Epsilon_Hub USA
REG_01 147.0 21.23 Delta_Shop India
REG_03 102.0 61.96 Alpha_Mart India
REG_02 30.0 86.97 Alpha_Mart Germany
REG_03 103.0 24.64 Gamma_Store UK
REG_03 28.0 64.82 Beta_Retail Canada
REG_02 107.0 34.29 Epsilon_Hub UK
REG_03 24.0 30.61 Alpha_Mart USA
REG_04 64.0 92.17 Epsilon_Hub USA
REG_02 111.0 89.61 Delta_Shop UK
REG_03 147.0 33.64 Epsilon_Hub Germany
REG_04 45.0 55.85 Alpha_Mart India
REG_01 50.0 81.28 Delta_Shop Canada
REG_01 129.0 57.61 Epsilon_Hub India
REG_01 147.0 77.57 Gamma_Store India
REG_03 126.0 10.29 Gamma_Store Canada
REG_02 37.0 88.34 Gamma_Store Canada
REG_02 51.0 58.54 Epsilon_Hub India
REG_03 38.0 93.61 Gamma_Store UK
REG_01 30.0 17.71 Delta_Shop India
REG_02 131.0 95.21 Beta_Retail USA
REG_04 148.0 77.97 Beta_Retail USA
REG_04 105.0 49.42 Epsilon_Hub Germany
REG_01 26.0 40.42 Epsilon_Hub Canada
REG_02 11.0 16.39 Alpha_Mart UK
REG_01 94.0 16.38 Beta_Retail USA
REG_04 43.0 75.09 Epsilon_Hub Canada
REG_04 131.0 82.67 Beta_Retail India
REG_01 100.0 48.12 Delta_Shop India
REG_01 NaN 75.53 Alpha_Mart UK
REG_02 124.0 22.62 Beta_Retail USA
REG_04 29.0 49.88 Epsilon_Hub India
REG_01 148.0 85.23 Alpha_Mart UK
REG_02 133.0 29.24 Delta_Shop India
REG_02 109.0 33.87 Delta_Shop USA
REG_04 134.0 23.93 Gamma_Store UK
REG_01 148.0 15.49 Gamma_Store India
REG_01 138.0 92.74 Epsilon_Hub UK
REG_01 30.0 86.61 Alpha_Mart Canada
REG_01 70.0 46.34 Epsilon_Hub UK
REG_01 117.0 69.16 Epsilon_Hub Canada
REG_03 62.0 70.27 Gamma_Store UK
REG_03 86.0 51.15 Alpha_Mart India
REG_04 35.0 16.59 Beta_Retail Canada
REG_03 99.0 89.27 Beta_Retail USA
REG_03 149.0 73.31 Epsilon_Hub Canada
REG_01 86.0 93.85 Alpha_Mart UK
REG_03 37.0 76.81 Beta_Retail USA
REG_03 97.0 28.32 Gamma_Store Canada
REG_04 23.0 18.31 Delta_Shop USA
REG_01 NaN 79.39 Gamma_Store UK
REG_04 119.0 60.48 Alpha_Mart India
REG_02 104.0 62.42 Beta_Retail Germany
REG_02 NaN 42.81 Alpha_Mart USA
